commodity,data,preco,regiao,quantidade,cidade,estado,dia,mes,ano,commodity_id
ALGODÃO,2023-10-01,338.72,CUIABÁ/MT,1785.0,CUIABÁ,MT,1,10,2023,1
ALGODÃO,2023-10-02,336.78,PARANAGUÁ/PR,825.0,PARANAGUÁ,PR,2,10,2023,1
ALGODÃO,2023-10-03,341.12,CAMPINAS/SP,652.0,CAMPINAS,SP,3,10,2023,1
ALGODÃO,2023-10-04,337.28,PARANAGUÁ/PR,671.0,PARANAGUÁ,PR,4,10,2023,1
ALGODÃO,2023-10-05,340.73,CAMPINAS/SP,1712.0,CAMPINAS,SP,5,10,2023,1
ALGODÃO,2023-10-06,-78.8,SANTOS/SP,-744.0,SANTOS,SP,6,10,2023,1
ALGODÃO,2023-10-07,340.6,CAMPINAS/SP,1548.0,CAMPINAS,SP,7,10,2023,1
ALGODÃO,2023-10-08,338.68,SANTOS/SP,1134.0,SANTOS,SP,8,10,2023,1
ALGODÃO,2023-10-09,-79.77,CAMPINAS/SP,-469.0,CAMPINAS,SP,9,10,2023,1
ALGODÃO,2023-10-10,333.75,RIBEIRÃO PRETO/SP,738.0,RIBEIRÃO PRETO,SP,10,10,2023,1
ALGODÃO,2023-10-11,330.19,CUIABÁ/MT,1267.0,CUIABÁ,MT,11,10,2023,1
ALGODÃO,2023-10-12,334.27,SANTOS/SP,567.0,SANTOS,SP,12,10,2023,1
ALGODÃO,2023-10-13,335.81,RIBEIRÃO PRETO/SP,1937.0,RIBEIRÃO PRETO,SP,13,10,2023,1
ALGODÃO,2023-10-14,334.84,CAMPINAS/SP,738.0,CAMPINAS,SP,14,10,2023,1
ALGODÃO,2023-10-15,334.38,SANTOS/SP,1579.0,SANTOS,SP,15,10,2023,1
ALGODÃO,2023-10-16,334.56,RIBEIRÃO PRETO/SP,982.0,RIBEIRÃO PRETO,SP,16,10,2023,1
ALGODÃO,2023-10-17,333.6,PARANAGUÁ/PR,955.0,PARANAGUÁ,PR,17,10,2023,1
ALGODÃO,2023-10-18,13381.29,RIBEIRÃO PRETO/SP,4955.0,RIBEIRÃO PRETO,SP,18,10,2023,1
ALGODÃO,2023-10-19,338.19,CAMPINAS/SP,1935.0,CAMPINAS,SP,19,10,2023,1
ALGODÃO,2023-10-20,347.66,CUIABÁ/MT,1257.0,CUIABÁ,MT,20,10,2023,1
ALGODÃO,2023-10-21,339.43,SANTOS/SP,898.0,SANTOS,SP,21,10,2023,1
ALGODÃO,2023-10-22,-38.45,SANTOS/SP,6904.0,SANTOS,SP,22,10,2023,1
ALGODÃO,2023-10-23,338.47,RIBEIRÃO PRETO/SP,1619.0,RIBEIRÃO PRETO,SP,23,10,2023,1
