commodity,data,preco,regiao,fonte,data_coleta,tabela,quantidade
ALGODÃO,2025-09-29,363.91,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-26,363.86,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-25,363.77,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-24,365.63,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-23,365.78,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-22,367.73,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-19,366.4,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-18,363.35,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-17,364.73,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-16,365.21,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-15,367.03,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-12,365.9,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-11,370.7,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-10,372.31,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-09,369.27,Paranaguá/PR,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador1,
ALGODÃO,2025-09-29,363.85,Paraná,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador2,
ALGODÃO,2025-09-26,364.42,Paraná,CEPEA/ESALQ,2025-09-30 02:17:43,imagenet-indicador2,
